data,preco_gasolina,preco_gasolina_real,postos_pesquisados,indice_ipca,ipca_mensal,salario_minimo,litros_por_salario,custo_tanque_50l,percentual_salario_tanque,indice_gasolina_100,indice_ipca_100,indice_salario_100
2025-06-01,6.23,6.523704855893023,19122.0,7312.97,0.24,1518,243.6597110754414,311.5,20.52042160737813,205.47493403693932,177.9224855238188,192.63959390862942
2025-07-01,6.21,6.485901939176047,17232.0,7331.98,0.26,1518,244.44444444444446,310.5,20.454545454545457,204.81530343007915,178.3849934309766,192.63959390862942
2025-08-01,6.19,6.472136973283397,14266.0,7323.91,-0.11,1518,245.23424878836832,309.5,20.38866930171278,204.155672823219,178.18865262031045,192.63959390862942
2025-09-01,6.19,6.44122329482298,17103.0,7359.06,0.48,1518,245.23424878836832,309.5,20.38866930171278,204.155672823219,179.04384214880056,192.63959390862942
2025-10-01,6.2,6.445830663292459,16621.0,7365.68,0.09,1518,244.83870967741936,310.0,20.421607378129117,204.48548812664907,179.20490487080923,192.63959390862942
2025-11-01,6.17,6.403114010955504,16435.0,7378.94,0.18,1518,246.0291734197731,308.5,20.322793148880105,203.49604221635883,179.52751690915284,192.63959390862942
2025-12-01,6.19,6.402741038106032,19948.0,7403.29,0.33,1518,245.23424878836832,309.5,20.38866930171278,204.155672823219,180.11994550143547,192.63959390862942
2026-01-01,6.32,6.515707861901094,17221.0,7427.72,0.33,1621,256.48734177215186,316.0,19.494139420111043,208.44327176781002,180.7143204710233,205.71065989847716
2026-02-01,6.3,6.449942444292626,17092.0,7479.71,0.7,1621,257.3015873015873,315.0,19.432449105490438,207.78364116094986,181.97922242226656,205.71065989847716
2026-03-01,6.59,6.687991526108836,20349.0,7545.53,0.88,1621,245.97875569044007,329.5,20.326958667489205,217.34828496042215,183.5806043501533,205.71065989847716
2026-04-01,6.74,6.79469308552163,18406.0,7596.09,0.67,1621,240.50445103857567,337.0,20.789636027143736,222.29551451187336,184.81071480706538,205.71065989847716
2026-05-01,6.64,6.655278652906029,17465.0,7640.15,0.58,1621,244.1265060240964,332.0,20.481184454040715,218.99736147757255,185.88268210792663,205.71065989847716
2026-06-01,6.62,6.624636890270596,20390.0,7652.37,0.16,1621,244.86404833836858,331.0,20.41949413942011,218.3377308707124,186.17999124130213,205.71065989847716
2026-07-01,6.57,6.57,18876.0,7657.73,0.07,1621,246.72754946727548,328.5,20.2652683528686,216.688654353562,186.31039852075324,205.71065989847716
